,Mar 2011,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.41,10.97,12.76,29.99,38.64,40.24,42.12,39.74,41.04,44.79,60.9,55.44,55.95
Expenses,8.31,10.57,12.75,29.5,37.58,39.25,41.29,38.67,38.98,43.22,58.57,52.43,53.13
Operating Profit,0.1,0.4,0.01,0.49,1.06,0.99,0.83,1.07,2.06,1.57,2.33,3.01,2.82
OPM %,1.19,3.65,0.08,1.63,2.74,2.46,1.97,2.69,5.02,3.51,3.83,5.43,5.04
Other Income,-0.0,-0.0,0.86,1.76,2.01,2.36,3.16,3.19,2.05,3.73,3.04,2.35,2.61
Interest,-0.0,-0.0,0.22,1.59,1.59,1.71,1.34,1.5,1.3,1.33,1.39,1.99,2.19
Depreciation,-0.0,-0.0,0.27,1.38,1.39,1.39,1.42,1.63,1.75,2.27,2.23,1.9,1.83
Profit before tax,0.1,0.4,0.38,-0.72,0.09,0.25,1.23,1.13,1.06,1.7,1.75,1.47,1.41
Tax %,-0.0,-0.0,23.68,11.11,-66.67,36.0,73.98,55.75,29.25,48.24,5.71,27.21,
Net Profit,0.1,0.4,0.29,-0.63,0.14,0.15,0.31,0.5,0.75,0.89,1.65,1.08,1.02
EPS in Rs,0.18,0.71,0.52,-0.64,0.14,0.05,0.06,0.07,0.11,0.13,0.25,0.16,0.15
