,2019-09-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,21.49,18.92,11.85,16.87,12.23,14.52,13.19,16.01
Expenses,21.25,14.46,11.7,15.58,11.52,13.66,12.54,15.41
Operating Profit,0.24,4.46,0.15,1.29,0.71,0.86,0.65,0.6
OPM %,1.12,23.57,1.27,7.65,5.81,5.92,4.93,3.75
Other Income,2.06,1.45,0.38,0.68,0.79,0.5,0.73,0.59
Interest,0.61,0.42,0.33,0.44,0.55,0.67,0.53,0.44
Depreciation,0.92,0.43,0.46,0.47,0.48,0.48,0.4,0.47
Profit before tax,0.77,5.06,-0.26,1.06,0.47,0.21,0.45,0.28
Tax %,27.27,33.2,-0.0,23.58,38.3,-9.52,31.11,32.14
Net Profit,0.55,3.38,-0.26,0.81,0.29,0.23,0.31,0.19
EPS in Rs,0.08,0.5,-0.04,0.12,0.04,0.03,0.05,0.03
