,2022-09-01,2023-09-01
Sales,1.26,6.06
Expenses,0.17,1.35
Operating Profit,1.09,4.71
OPM %,86.51,77.72
Other Income,0.39,0.0
Interest,0.47,0.65
Depreciation,0.85,1.26
Profit before tax,0.16,2.8
Tax %,337.50,25.36
Net Profit,-0.37,2.09
EPS in Rs,,2.36
