,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.86
Reserves,0.95,1.0,1.02,0.98,1.03,4.5,4.67,5.66,9.13,3.16
Borrowings,0.68,1.39,1.33,1.33,1.33,0.0,1.06,12.21,22.32,24.21
Other Liabilities,0.45,0.4,0.37,0.37,0.43,0.48,0.04,0.73,2.35,4.37
Total Liabilities,2.09,2.8,2.73,2.69,2.8,4.99,5.78,18.61,33.81,40.6
Fixed Assets,1.59,1.58,1.56,1.55,1.56,1.12,4.21,14.12,27.04,27.74
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.36,0.0
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,0.49,1.21,1.16,1.13,1.23,3.86,1.56,3.77,6.4,12.85
Total Assets,2.09,2.8,2.73,2.69,2.8,4.99,5.78,18.61,33.81,40.6
