,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.19,0.13,0.00,0.00,0.00,0.00,0.36,2.57,7.11
Expenses,0.06,0.06,0.08,0.08,0.16,0.06,0.12,0.78,0.52
Operating Profit,0.13,0.07,-0.08,-0.08,-0.16,-0.06,0.24,1.79,6.59
OPM %,68.42,53.85,,,,,66.67,69.65,92.69
Other Income,0.00,0.00,0.12,0.08,0.25,0.19,0.17,0.74,1.30
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.41,1.03
Depreciation,0.02,0.02,0.01,0.01,0.01,0.06,0.23,0.75,2.06
Profit before tax,0.11,0.05,0.03,-0.01,0.08,0.07,0.14,1.37,4.80
Tax %,9.09,0.00,0.00,-300.00,37.50,14.29,-71.43,27.01,27.71
Net Profit,0.11,0.05,0.02,-0.04,0.04,0.05,0.24,1.00,3.47
EPS in Rs,,,,,,,,,
