,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.87,39.05,31.65,24.12,48.88,91.81,89.35
Expenses,2.58,40.93,29.04,17.95,35.43,79.4,83.55
Operating Profit,-0.71,-1.88,2.61,6.17,13.45,12.41,5.80
OPM %,-37.97,-4.81,8.25,25.58,27.52,13.52,6.49
Other Income,1.17,0.27,0.16,0.46,0.2,0.38,0.77
Interest,0.09,1.58,1.75,1.75,1.2,1.06,1.01
Depreciation,1.64,1.35,1.38,1.45,1.51,2.1,2.27
Profit before tax,-1.27,-4.54,-0.36,3.43,10.94,9.63,3.29
Tax %,-0.0,-0.0,5.56,21.87,31.44,22.01,
Net Profit,-1.27,-4.54,-0.33,2.67,7.49,7.51,2.81
EPS in Rs,-4.23,-15.13,-1.1,8.9,24.97,6.14,2.30
