,2022-09-01,2023-03-01,2023-09-01
Sales,48.16,43.65,45.7
Expenses,39.07,40.33,43.22
Operating Profit,9.09,3.32,2.48
OPM %,18.87,7.61,5.43
Other Income,0.09,0.29,0.48
Interest,0.54,0.52,0.49
Depreciation,0.87,1.24,1.03
Profit before tax,7.77,1.85,1.44
Tax %,25.87,5.41,27.08
Net Profit,5.76,1.75,1.06
EPS in Rs,19.2,1.43,0.87
