,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.0,3.0,3.0,3.0,3.0,12.24,12.24
Reserves,3.66,-0.88,2.0,4.68,12.17,23.4,23.84
Borrowings,15.25,14.99,17.34,13.97,14.0,12.73,14.58
Other Liabilities,2.07,5.78,7.56,6.52,6.75,9.34,8.44
Total Liabilities,23.98,22.89,29.9,28.17,35.92,57.71,59.1
Fixed Assets,17.53,17.07,16.25,15.84,15.95,24.16,23.27
CWIP,0.0,0.14,0.2,0.24,5.21,1.56,3.07
Investments,0.0,0.02,0.15,0.15,0.15,0.15,0.0
Other Assets,6.45,5.66,13.3,11.94,14.61,31.84,32.76
Total Assets,23.98,22.89,29.9,28.17,35.92,57.71,59.1
