,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01
Reserves,-0.01,0.04,0.07,-0.09,1.65,3.32,2.4,1.1,1.85,4.87,5.6,8.23
Borrowings,0.04,0.39,0.78,0.0,0.26,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.06,0.08,0.1,0.39,0.17,0.25,0.34,0.1,0.08,0.25,0.68,0.8
Total Liabilities,3.1,3.52,3.96,3.31,5.09,6.78,5.75,4.21,4.94,8.13,9.29,12.04
Fixed Assets,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,3.31,5.32,4.11,2.44,3.08,5.07,4.61,6.67
Other Assets,3.04,3.47,3.92,3.28,1.75,1.43,1.62,1.75,1.84,3.04,4.67,5.36
Total Assets,3.1,3.52,3.96,3.31,5.09,6.78,5.75,4.21,4.94,8.13,9.29,12.04
