,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,0.00,0.00,0.00,42.44,0.00,30.12,17.11,63.79,0.00,2.68
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,0.0,0.00,0.00,0.00,42.44,0.00,30.12,17.11,63.79,0.00,2.68
Working Capital Days,-72078.81,-121.67,-158.70,-577.92,942.21,31.49,31.89,171.09,173.64,420.68,351.58
ROCE %,,1.85,2.47,-3.83,1.02,12.05,17.92,3.78,14.72,19.00,18.92
