,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.21,0.21,0.23,0.24,0.43,2.55,4.12,0.64,1.03,1.77,2.72,2.30
Expenses,0.20,0.15,0.14,0.6,0.42,2.05,3.22,0.59,0.38,0.56,1.23,1.68
Operating Profit,0.01,0.06,0.09,-0.36,0.01,0.5,0.9,0.05,0.65,1.21,1.49,0.62
OPM %,4.76,28.57,39.13,-150.0,2.33,19.61,21.84,7.81,63.11,68.36,54.78,26.96
Other Income,0.00,0.0,-0.01,0.23,0.04,0.2,0.17,0.13,0.01,0.0,0.07,1.19
Interest,0.00,0.0,0.05,0.03,0.02,0.03,0.01,0.0,0.0,0.0,0.02,0.01
Depreciation,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.00,0.06,0.03,-0.16,0.03,0.67,1.06,0.18,0.66,1.21,1.54,1.80
Tax %,,0.0,-33.33,0.0,33.33,23.88,22.64,27.78,31.82,17.36,22.08,
Net Profit,0.00,0.05,0.03,-0.16,0.01,0.5,0.81,0.13,0.45,1.0,1.2,1.39
EPS in Rs,0.00,0.17,0.1,-0.53,0.03,1.66,2.69,0.43,1.49,3.32,3.98,4.61
