,Mar 2016,Mar 2017,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.71,2.38,9.62,13.06,22.74,28.61
Expenses,2.71,2.22,8.74,12.89,21.85,27.39
Operating Profit,1.0,0.16,0.88,0.17,0.89,1.22
OPM %,26.95,6.72,9.15,1.3,3.91,4.26
Other Income,0.04,-1.56,-1.0,0.28,0.1,0.12
Interest,0.21,0.16,0.01,0.04,0.07,0.11
Depreciation,0.45,0.5,0.07,0.05,0.04,0.06
Profit before tax,0.38,-2.06,-0.2,0.36,0.88,1.17
Tax %,36.84,22.82,-55.0,-47.22,23.86,
Net Profit,0.24,-1.59,-0.32,0.54,0.66,0.74
EPS in Rs,0.76,-3.78,-0.76,1.28,1.52,1.75
