,2016-03-01,2017-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.16,4.21,4.21,4.21,4.21,4.21
Reserves,0.3,-0.39,-0.73,-0.19,0.46,0.96
Borrowings,2.71,1.16,0.03,0.8200000000000001,4.44,10.53
Other Liabilities,0.66,0.45,0.89,1.15,1.56,2.54
Total Liabilities,6.83,5.43,4.4,5.99,10.67,18.24
Fixed Assets,3.8,1.33,0.08,0.05,0.71,0.6900000000000001
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.6900000000000001,0.5700000000000001,0.0,0.0,0.02,6.45
Other Assets,2.34,3.53,4.32,5.94,9.94,11.1
Total Assets,6.83,5.43,4.4,5.99,10.67,18.24
