,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,6.59,5.32,7.74,11.87,10.87,17.74
Expenses,6.3,5.22,7.68,11.54,10.31,17.08
Operating Profit,0.29,0.1,0.06,0.33,0.56,0.66
OPM %,4.4,1.88,0.78,2.78,5.15,3.72
Other Income,0.1,0.09,0.2,0.23,-0.13,0.25
Interest,0.01,0.0,0.04,0.05,0.02,0.09
Depreciation,0.02,0.02,0.02,0.01,0.02,0.04
Profit before tax,0.36,0.17,0.2,0.5,0.39,0.78
Tax %,0.0,0.0,-85.0,0.0,56.41,26.92
Net Profit,0.36,0.17,0.37,0.5,0.17,0.57
EPS in Rs,0.85,0.4,0.88,1.19,0.4,1.35
