,Mar 2022,Mar 2023,TTM
Sales,0,62.0,131
Expenses,0,49.0,107
Operating Profit,-0,13.0,25
OPM %,,21.0,19
Other Income,0,4.0,12
Interest,0,5.0,11
Depreciation,0,8.0,16
Profit before tax,-0,4.0,9
Tax %,12,23.0,
Net Profit,-0,3.0,7
EPS in Rs,-0.07,0.76,1.43
