,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.0,4,4.0
Reserves,,17,25.0
Preference Capital,,30,
Borrowings,,91,111.0
Other Liabilities,,67,43.0
Total Liabilities,,179,183.0
Fixed Assets,,143,141.0
CWIP,,1,0.0
Investments,,0,0.0
Other Assets,,35,42.0
Total Assets,,179,183.0
