,2021-06-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.21,1.19,23.87,36.46,34.46,36.29
Expenses,0.05,0.05,0.31,1.17,19.36,28.17,28.79,30.19
Operating Profit,-0.05,-0.05,-0.1,0.02,4.51,8.29,5.67,6.1
OPM %,,,-47.62,1.68,18.89,22.74,16.45,16.81
Other Income,0.00,0.03,0.03,0.12,0.78,3.77,4.62,2.89
Interest,0.00,0.00,0.02,0.05,2.0,3.24,2.97,2.9
Depreciation,0.00,0.00,0.03,0.07,2.86,4.65,4.32,4.51
Profit before tax,-0.05,-0.02,-0.12,0.02,0.43,4.17,3.0,1.58
Tax %,0.00,150.00,0.0,100.0,6.98,23.5,22.67,43.04
Net Profit,-0.05,0.01,-0.12,0.0,0.4,3.19,2.31,0.91
EPS in Rs,-0.02,0.00,-0.04,0.0,0.07,0.72,0.51,0.13
