,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,83.0,66.0,63.0,76.0,41.0,10.0,1.0,0.0,0
Expenses,82.0,66.0,66.0,71.0,52.0,50.0,3.0,52.0,1
Operating Profit,1.0,-1.0,-2.0,4.0,-10.0,-40.0,-2.0,-52.0,-1
OPM %,1.0,-1.0,-4.0,6.0,-25.0,-394.0,-128.0,-15670.0,
Other Income,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,38
Interest,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0
Depreciation,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2
Profit before tax,-3.0,-6.0,-8.0,-1.0,-16.0,-43.0,-6.0,-56.0,35
Tax %,-10.0,-4.0,3.0,-26.0,2.0,-0.0,3.0,15.0,0
Net Profit,-4.0,-6.0,-8.0,-1.0,-16.0,-43.0,-6.0,-47.0,35
EPS in Rs,-2.11,-3.36,-4.41,-0.51,-8.82,-23.94,-3.1,-26.33,19.34
