,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.14,10.14,10.14,10.14,10.14,10.14
Reserves,7.87,8.63,9.14,9.16,12.7,13.24
Borrowings,2.37,6.06,7.09,6.11,6.9,1.94
Other Liabilities,0.2,0.2,0.21,0.31,0.42,0.27
Total Liabilities,20.58,25.03,26.58,25.72,30.16,25.59
Fixed Assets,0.16,0.15,0.15,0.14,0.14,0.13
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,15.76,16.27,16.35,17.16,19.01,19.19
Other Assets,4.66,8.61,10.08,8.42,11.01,6.27
Total Assets,20.58,25.03,26.58,25.72,30.16,25.59
