,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,71.63,43.64,45.1,55.58,40.21,33.34,28.37,41.37,44.66,31.49
Expenses,67.36,41.03,42.03,53.29,38.91,32.21,33.82,41.32,45.77,31.55
Operating Profit,4.27,2.61,3.07,2.29,1.3,1.13,-5.45,0.05,-1.11,-0.06
OPM %,5.96,5.98,6.81,4.12,3.23,3.39,-19.21,0.12,-2.49,-0.19
Other Income,0.3,0.92,0.42,0.02,0.76,0.33,0.4,-0.06,0.05,-0.82
Interest,0.71,0.72,0.79,0.36,0.83,0.69,-0.2,0.71,0.85,0.92
Depreciation,0.93,0.79,0.79,0.73,0.84,0.8,0.8,0.81,0.8,0.8
Profit before tax,2.93,2.02,1.91,1.22,0.39,-0.03,-5.65,-1.53,-2.71,-2.6
Tax %,24.91,36.63,25.13,57.38,25.64,700.0,1.59,50.98,0.0,0.0
Net Profit,2.2,1.29,1.44,0.52,0.29,0.17,-5.57,-0.75,-2.71,-2.61
EPS in Rs,1.28,0.75,0.84,0.3,0.17,0.1,-3.25,-0.44,-1.58,-1.52
