,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1012.0,1048.0,1111.0,1311.0,1516.0,1135.0,2084.0,2998.0,3212
Expenses,1013.0,1008.0,1015.0,1106.0,1297.0,938.0,1608.0,2340.0,2559
Operating Profit,-1.0,39.0,96.0,205.0,220.0,197.0,476.0,658.0,652
OPM %,-0.0,4.0,9.0,16.0,14.0,17.0,23.0,22.0,20
Other Income,-0.0,8.0,23.0,42.0,45.0,120.0,-3.0,12.0,-38
Interest,43.0,88.0,34.0,137.0,161.0,151.0,129.0,149.0,162
Depreciation,85.0,137.0,55.0,203.0,223.0,229.0,221.0,279.0,315
Profit before tax,-129.0,-178.0,30.0,-93.0,-120.0,-64.0,123.0,242.0,138
Tax %,-1.0,-1.0,-3.0,-1.0,-2.0,2.0,-26.0,-9.0,
Net Profit,-130.0,-180.0,31.0,-94.0,-121.0,-63.0,155.0,263.0,165
EPS in Rs,-11.98,-11.31,4.33,-7.46,-11.46,-0.48,1.3,2.2,1.47
