,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,106,106,106,106,106,115,120,120,121.0
Reserves,70,-19,33,-176,-295,-2,566,850,915.0
Preference Capital,0,0,0,0,0,8,0,0,
Borrowings,348,306,371,488,544,1328,1254,1565,1683.0
Other Liabilities,196,202,218,1390,1529,227,322,453,411.0
Total Liabilities,720,596,728,1807,1884,1668,2263,2989,3130.0
Fixed Assets,491,406,445,1578,1635,1392,1756,2427,2572.0
CWIP,38,15,56,12,14,14,7,15,16.0
Investments,0,0,0,0,0,0,0,0,0.0
Other Assets,192,174,226,218,235,262,500,547,542.0
Total Assets,720,596,728,1807,1884,1668,2263,2989,3130.0
