,2022-03-01,2023-03-01,2023-09-01
Promoters,62.8,62.78,62.74
FIIs,6.9,9.77,13.34
DIIs,5.75,9.66,8.23
Public,24.55,17.78,15.69
No. of Shareholders,273646.0,306355.0,264714.0
