,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.71,10.71,10.71,10.71,17.54,25.0,25.0
Reserves,10.43,10.24,9.64,9.76,17.5,76.49,78.02
Borrowings,5.54,4.8100000000000005,14.6,23.31,20.9,15.75,15.06
Other Liabilities,2.91,2.93,8.83,7.22,18.23,15.72,26.14
Total Liabilities,29.59,28.69,43.78,51.0,74.17,132.96,144.22
Fixed Assets,4.98,5.12,11.54,11.25,8.49,8.73,11.46
CWIP,0.32,5.1,0.0,0.0,0.0,0.0,0.0
Investments,12.69,5.49,5.44,5.47,4.86,4.55,4.52
Other Assets,11.6,12.98,26.8,34.28,60.82,119.68,128.24
Total Assets,29.59,28.69,43.78,51.0,74.17,132.96,144.22
