,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,19.17,0.00,21.99,54.3,67.03,50.44
Expenses,19.26,0.33,21.26,52.54,62.66,45.98
Operating Profit,-0.09,-0.33,0.73,1.76,4.37,4.46
OPM %,-0.47,,3.32,3.24,6.52,8.84
Other Income,-0.25,0.28,0.08,0.04,0.31,0.75
Interest,0.0,0.00,0.3,0.98,1.27,0.72
Depreciation,0.0,0.04,0.41,0.64,0.64,0.43
Profit before tax,-0.34,-0.09,0.1,0.18,2.77,4.06
Tax %,2.94,0.00,20.0,27.78,19.13,24.14
Net Profit,-0.28,-0.19,0.03,0.15,2.35,3.22
EPS in Rs,-0.26,-0.18,0.03,0.14,1.19,1.29
