,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14.13,14.25,15.94,22.93,22.93,22.93,22.93,22.93,22.93
Reserves,24.55,43.92,53.97,81.47,85.43,91.04,97.21,103.32,97.24
Borrowings,0.0,0.08,5.08,0.5,5.41,4.64,4.9,3.96,2.68
Other Liabilities,38.59,37.6,43.09,21.53,19.17,19.74,21.3,25.33,13.65
Total Liabilities,77.27,95.85,118.08,126.43,132.94,138.35,146.34,155.54,136.5
Fixed Assets,13.14,26.11,32.37,31.03,36.66,36.52,31.21,28.27,18.81
CWIP,0.0,0.0,0.0,7.87,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,7.04
Other Assets,64.13,69.74,85.71,87.53,96.28,101.82,115.12,127.26,110.65
Total Assets,77.27,95.85,118.08,126.43,132.94,138.35,146.34,155.54,136.5
