,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,81.83,100.48,91.7,77.34,76.2,70.58,94.81,84.14,85.14
Expenses,69.9,84.21,66.43,60.7,62.26,55.62,77.72,68.04,68.70
Operating Profit,11.93,16.27,25.27,16.64,13.94,14.96,17.09,16.1,16.44
OPM %,14.58,16.19,27.56,21.52,18.29,21.2,18.03,19.13,19.31
Other Income,1.75,1.15,0.4,0.9,0.28,0.55,0.1,0.17,0.15
Interest,0.07,0.04,0.06,0.19,0.17,0.08,0.13,0.05,0.02
Depreciation,7.3,3.24,4.06,4.56,5.71,5.76,5.93,6.3,6.78
Profit before tax,6.31,14.14,21.55,12.79,8.34,9.67,11.13,9.92,9.79
Tax %,14.9,27.37,30.49,21.89,25.18,27.51,25.43,20.16,
Net Profit,5.38,10.26,14.99,9.99,6.25,7.0,8.3,7.93,7.72
EPS in Rs,3.81,7.2,9.41,4.36,2.73,3.05,3.62,3.46,3.37
