,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.7,15.87,14.93,17.76,22.56,16.55,23.01,25.81,28.28,39.03,39.53,36.66,39.20
Expenses,12.17,15.22,14.66,16.47,20.86,16.66,21.84,23.91,26.59,37.15,37.46,35.06,37.99
Operating Profit,0.53,0.65,0.27,1.29,1.7,-0.11,1.17,1.9,1.69,1.88,2.07,1.6,1.21
OPM %,4.17,4.1,1.81,7.26,7.54,-0.66,5.08,7.36,5.98,4.82,5.24,4.36,3.09
Other Income,0.02,0.03,0.24,0.0,0.1,0.18,0.23,-0.16,0.06,0.02,0.04,0.59,-0.84
Interest,0.34,0.46,0.51,0.87,1.32,1.74,0.96,0.86,1.13,1.07,1.22,1.37,1.43
Depreciation,0.2,0.2,0.2,0.34,0.3,0.34,0.36,0.37,0.38,0.43,0.48,0.5,0.00
Profit before tax,0.01,0.02,-0.2,0.08,0.18,-2.01,0.08,0.51,0.24,0.4,0.41,0.32,-1.06
Tax %,0.0,0.0,0.0,12.5,33.33,0.0,12.5,25.49,12.5,12.5,14.63,28.12,
Net Profit,0.01,0.02,-0.2,0.06,0.13,-2.01,0.06,0.37,0.22,0.35,0.35,0.23,-1.15
EPS in Rs,0.02,0.04,-0.42,0.12,0.27,-4.18,0.12,0.77,0.46,0.73,0.73,0.48,-2.39
