,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,650.0,649.0,594.0,783.0,966.0
Expenses,506.0,516.0,459.0,615.0,760.0
Operating Profit,144.0,133.0,135.0,168.0,206.0
OPM %,22.0,20.0,23.0,21.0,21.0
Other Income,28.0,48.0,15.0,21.0,17.0
Interest,27.0,26.0,7.0,2.0,4.0
Depreciation,9.0,12.0,12.0,12.0,14.0
Profit before tax,135.0,144.0,131.0,174.0,205.0
Tax %,-44.0,32.0,27.0,25.0,26.0
Net Profit,193.0,97.0,96.0,130.0,153.0
EPS in Rs,213.05,107.23,105.89,14.38,16.83
