,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,26,26,26,26,26,26,26,26,26,26
Reserves,399,421,455,437,439,442,533,621,846,1028,1066
Borrowings,466,475,485,465,552,700,747,562,740,719,836
Other Liabilities,409,469,478,509,643,1003,1038,1136,1782,1336,1447
Total Liabilities,1274,1391,1445,1437,1660,2172,2344,2345,3395,3109,3375
Fixed Assets,183,192,195,210,273,354,479,464,463,484,483
CWIP,2,11,23,20,30,15,21,5,3,8,18
Investments,23,20,44,68,98,79,89,154,319,418,441
Other Assets,1066,1168,1183,1140,1258,1723,1755,1722,2609,2199,2433
Total Assets,1274,1391,1445,1437,1660,2172,2344,2345,3395,3109,3375
