,2023-09-01
Depreciation,0.19
EPS in Rs,0.49
Expenses,3.01
Interest,0.0
Net Profit,0.24
OPM %,11.21
Operating Profit,0.38
Other Income,0.13
Profit before tax,0.32
Sales,3.39
Tax %,25.0
