,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.23,3.52,6.26,7.82,17.07,27.23,17.98,15.3,13.2,8.86,7.02,4.57,3.85
Expenses,1.94,2.46,3.77,6.14,13.83,23.58,13.12,12.48,8.53,5.38,4.48,1.72,1.16
Operating Profit,0.29,1.06,2.49,1.68,3.24,3.65,4.86,2.82,4.67,3.48,2.54,2.85,2.69
OPM %,13.0,30.11,39.78,21.48,18.98,13.4,27.03,18.43,35.38,39.28,36.18,62.36,69.87
Other Income,0.22,0.2,0.18,0.03,0.17,0.15,3.54,0.46,0.41,0.44,0.46,0.93,0.07
Interest,0.01,-0.0,-0.02,0.05,-0.05,0.05,0.01,0.25,0.18,-0.0,-0.0,-0.0,-0.0
Depreciation,0.05,0.05,0.06,0.05,0.05,0.05,0.07,0.07,0.08,0.08,0.08,0.04,0.04
Profit before tax,0.45,1.21,2.63,1.61,3.41,3.7,8.32,2.96,4.82,3.84,2.92,3.74,2.72
Tax %,13.33,28.93,30.04,27.95,24.05,27.84,24.28,29.05,34.02,35.42,20.55,25.4,27.94
Net Profit,0.38,0.86,1.83,1.16,2.59,2.67,6.3,2.1,3.18,2.48,2.32,2.79,1.96
EPS in Rs,1.02,2.3,4.9,3.11,6.94,7.16,16.88,5.63,8.52,6.65,6.22,7.48,5.25
