,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,59.0,62.0,66.0,72.0,63.0,46.0,82.0,99.0,93.0,101.0
Expenses,48.0,54.0,63.0,60.0,59.0,40.0,78.0,94.0,85.0,94.0
Operating Profit,10.0,8.0,3.0,12.0,5.0,6.0,4.0,5.0,7.0,8.0
OPM %,18.0,13.0,4.0,17.0,7.0,13.0,4.0,5.0,8.0,8.0
Other Income,0.0,0.0,6.0,0.0,0.0,1.0,6.0,6.0,0.0,4.0
Interest,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
Depreciation,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
Profit before tax,5.0,4.0,4.0,7.0,0.0,2.0,6.0,8.0,3.0,7.0
Tax %,0.0,5.0,31.0,0.0,3780.0,25.0,31.0,32.0,46.0,28.0
Net Profit,5.0,4.0,3.0,7.0,-2.0,2.0,4.0,5.0,2.0,5.0
EPS in Rs,2.74,1.99,1.48,4.1,-1.01,0.9,2.09,2.81,0.91,2.83
