,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.52,22.86,23.01,26.46,30.04,33.48,38.31,40.64,34.14,36.47,43.51,47.87,47.47
Expenses,13.63,16.09,17.44,18.89,20.56,22.73,26.44,29.46,28.29,27.77,31.42,36.38,37.45
Operating Profit,6.89,6.77,5.57,7.57,9.48,10.75,11.87,11.18,5.85,8.7,12.09,11.49,10.02
OPM %,33.58,29.62,24.21,28.61,31.56,32.11,30.98,27.51,17.14,23.86,27.79,24.0,21.11
Other Income,0.03,0.07,0.53,0.33,-0.07,0.06,0.3,1.16,0.72,0.74,1.1,1.17,1.54
Interest,0.24,0.36,0.71,0.56,0.33,0.14,0.01,0.01,0.02,0.08,0.01,0.01,0.01
Depreciation,0.44,0.37,0.43,0.6,0.57,0.71,0.79,0.92,1.01,1.0,1.42,1.52,1.56
Profit before tax,6.24,6.11,4.96,6.74,8.51,9.96,11.37,11.41,5.54,8.36,11.76,11.13,9.99
Tax %,28.37,35.19,31.85,32.34,33.25,33.63,27.7,28.57,25.09,25.96,24.91,26.5,
Net Profit,4.47,3.96,3.39,4.55,5.68,6.62,8.22,8.14,4.15,6.19,8.83,8.18,7.35
EPS in Rs,12.38,10.96,9.39,12.6,15.73,18.33,22.76,22.54,11.49,17.14,24.45,22.65,20.35
