,2015-03-01,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,214.26,214.26,214.26,214.26,214.26,214.26,214.26,214.26
Reserves,-181.68,-192.17,-192.73,-199.28,-199.2,-200.26,-200.42,-201.43
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Other Liabilities,0.21,2.77,2.77,2.81,2.79,2.81,2.77,2.9
Total Liabilities,32.79,24.86,24.3,17.79,17.85,16.81,16.61,16.03
Fixed Assets,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.27
CWIP,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,7.04,7.0,7.16,2.1,2.17,2.17,2.17,0.77
Other Assets,25.6,17.86,17.14,15.69,15.68,14.64,14.44,14.99
Total Assets,32.79,24.86,24.3,17.79,17.85,16.81,16.61,16.03
