,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.34,0.4,0.08,-0.00,0.01,-0.00,0.01,-0.00,0.0
Expenses,0.56,10.9,0.65,4.44,0.23,1.06,0.18,1.53,2.11
Operating Profit,-0.22,-10.5,-0.57,-4.44,-0.22,-1.06,-0.17,-1.53,-2.11
OPM %,-64.71,-2625.0,-712.5,,-2200.0,,-1700.0,,
Other Income,-0.0,-0.0,0.01,-0.00,0.31,-0.00,0.01,0.58,0.58
Interest,-0.0,-0.0,-0.0,-0.00,-0.0,-0.00,-0.0,-0.00,0.0
Depreciation,0.05,-0.0,-0.0,-0.00,-0.0,-0.00,-0.0,-0.00,0.0
Profit before tax,-0.27,-10.5,-0.56,-4.44,0.09,-1.06,-0.16,-0.95,-1.53
Tax %,-81.48,-0.0,-0.0,-0.00,11.11,-0.00,-0.0,-0.00,
Net Profit,-0.48,-10.5,-0.56,-4.44,0.08,-1.06,-0.16,-0.95,-1.29
EPS in Rs,-0.02,-0.49,-0.03,-0.21,0.0,-0.05,-0.01,-0.04,-0.06
