,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,10,10,10,10
Reserves,8,15,153,193,185,187
Borrowings,0,10,4,4,3,3
Other Liabilities,15,9,19,12,8,9
Total Liabilities,24,34,186,219,207,209
Fixed Assets,1,1,4,10,9,8
CWIP,0,0,0,0,0,0
Investments,0,0,0,33,59,64
Other Assets,23,33,182,175,139,137
Total Assets,24,34,186,219,207,209
