,2012-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,6,6,6,6,7,10,10,10,10,10,10
Reserves,0,0,0,0,1,1,9,12,20,26,36,40
Borrowings,0,7,14,23,22,31,29,22,50,34,58,81
Other Liabilities,0,0,1,1,2,4,2,3,10,5,6,24
Total Liabilities,1,13,20,31,32,43,50,47,90,75,110,155
Fixed Assets,1,10,10,11,11,12,15,17,22,26,40,40
CWIP,0,0,0,0,0,0,0,0,0,4,16,32
Investments,0,0,0,0,0,0,0,2,2,2,2,2
Other Assets,0,3,10,20,20,31,35,27,65,43,52,79
Total Assets,1,13,20,31,32,43,50,47,90,75,110,155
