,2018-03-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.82,41.84,43.49,44.29,45.38,52.39,58.16,64.97,64.26,80.14,56.83,62.01
Expenses,23.37,40.18,40.56,41.6,41.95,49.13,54.42,60.27,57.81,74.32,52.92,58.47
Operating Profit,1.45,1.66,2.93,2.69,3.43,3.26,3.74,4.7,6.45,5.82,3.91,3.54
OPM %,5.84,3.97,6.74,6.07,7.56,6.22,6.43,7.23,10.04,7.26,6.88,5.71
Other Income,-0.2,0.06,0.05,0.06,0.02,0.12,0.0,0.02,0.1,0.34,0.84,1.16
Interest,0.61,0.84,0.88,0.76,0.63,0.72,1.36,2.1,1.87,0.72,1.55,1.35
Depreciation,0.23,0.43,0.45,0.42,0.44,0.54,0.49,0.51,0.52,0.64,0.61,0.64
Profit before tax,0.41,0.45,1.65,1.57,2.38,2.12,1.89,2.11,4.16,4.8,2.59,2.71
Tax %,-7.32,28.89,12.73,27.39,28.57,19.81,25.93,32.23,22.12,26.25,23.94,25.46
Net Profit,0.43,0.33,1.44,1.13,1.7,1.7,1.4,1.44,3.24,3.53,1.97,2.02
EPS in Rs,0.6,0.33,1.45,1.14,1.7,1.7,1.4,1.44,3.24,3.53,1.97,2.02
