,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,50.78,67.65,82.82,98.97,103.04,104.42,77.98,81.45,84.33,46.43,70.52,84.67,49.50
Expenses,45.27,61.53,71.99,89.47,92.13,93.91,71.23,72.91,72.99,42.91,66.53,80.07,51.40
Operating Profit,5.51,6.12,10.83,9.5,10.91,10.51,6.75,8.54,11.34,3.52,3.99,4.6,-1.90
OPM %,10.85,9.05,13.08,9.6,10.59,10.07,8.66,10.48,13.45,7.58,5.66,5.43,-3.84
Other Income,0.27,1.17,1.29,1.53,-1.15,1.75,2.95,4.52,-3.86,1.49,0.92,0.32,1.14
Interest,0.75,0.55,1.9,3.13,2.88,3.31,2.91,2.4,1.64,0.91,0.87,1.2,0.68
Depreciation,4.78,4.76,5.95,4.91,4.87,3.92,4.09,4.15,3.57,3.37,3.14,3.06,2.09
Profit before tax,0.25,1.98,4.27,2.99,2.01,5.03,2.7,6.51,2.27,0.73,0.9,0.66,-3.53
Tax %,24.0,30.3,52.22,26.42,48.76,41.95,32.22,0.92,16.74,-4.11,32.22,42.42,
Net Profit,0.19,1.37,2.04,2.2,1.02,2.92,1.83,6.45,1.89,0.75,0.62,0.37,-3.63
EPS in Rs,0.22,1.6,2.38,2.56,1.19,3.4,2.13,7.52,2.2,0.87,0.72,0.43,-4.23
