,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,7,7,7,7,7,7,7,7,7,7
Reserves,114,101,96,91,92,100,105,102,110,119,121
Borrowings,79,101,95,89,86,66,74,110,127,144,152
Other Liabilities,69,34,31,35,37,81,78,104,129,109,138
Total Liabilities,262,243,229,222,222,253,264,322,372,379,417
Fixed Assets,95,98,93,89,84,79,96,93,99,108,108
CWIP,12,6,6,6,11,18,8,8,6,6,7
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,155,139,130,126,127,156,161,221,267,265,303
Total Assets,262,243,229,222,222,253,264,322,372,379,417
