,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29
Reserves,0.38,-0.35,-1.93,-3.11,-11.84,-10.11,-9.39,-9.91,-12.47,-12.06,-10.89,-10.29
Borrowings,12.38,13.08,11.82,9.23,6.31,10.15,5.46,3.91,4.79,1.74,1.46,1.21
Other Liabilities,4.45,3.63,2.85,2.93,3.15,8.49,9.59,3.7,3.44,8.64,8.58,8.5
Total Liabilities,32.5,31.65,28.03,24.34,12.91,23.82,20.95,12.99,11.05,13.61,14.44,14.71
Fixed Assets,7.81,6.23,4.0,2.48,2.55,2.34,2.26,1.98,1.76,1.56,1.96,1.91
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,24.68,25.41,24.02,21.85,10.35,21.47,18.68,11.0,9.28,12.04,12.47,12.79
Total Assets,32.5,31.65,28.03,24.34,12.91,23.82,20.95,12.99,11.05,13.61,14.44,14.71
