,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.09,0.11,0.23,0.64,0.02,10.59,17.79,0.78,0.00,1.01,0.00,0.0
Expenses,0.76,0.52,1.0,0.99,0.63,10.74,18.63,1.63,1.20,2.89,0.82,0.84
Operating Profit,-0.67,-0.41,-0.77,-0.35,-0.61,-0.15,-0.84,-0.85,-1.20,-1.88,-0.82,-0.84
OPM %,-744.44,-372.73,-334.78,-54.69,-3050.0,-1.42,-4.72,-108.97,,-186.14,,
Other Income,1.84,1.6,1.83,1.8,2.55,2.42,2.76,1.25,0.46,3.51,2.33,2.52
Interest,0.17,0.38,0.39,0.43,1.31,0.94,0.93,0.54,0.43,0.21,0.18,0.27
Depreciation,1.68,1.58,2.06,1.63,0.45,0.36,0.31,0.29,0.22,0.33,0.15,0.17
Profit before tax,-0.68,-0.77,-1.39,-0.61,0.18,0.97,0.68,-0.43,-1.39,1.09,1.18,1.24
Tax %,-64.71,5.19,-13.67,-90.16,322.22,-79.38,-4.41,-20.93,-84.17,63.3,0.85,
Net Profit,-1.12,-0.73,-1.58,-1.16,-0.41,1.73,0.72,-0.52,-2.56,0.4,1.17,1.22
EPS in Rs,-0.73,-0.48,-1.03,-0.76,-0.27,1.13,0.47,-0.34,-1.67,0.26,0.77,0.8
