,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1.05,-3.67,2.19
Cash from Investing Activity,-0.05,-0.34,-4.82
Cash from Financing Activity,1.03,4.27,2.73
Net Cash Flow,-0.07,0.26,0.1
