,2021-03-01,2022-03-01,2023-03-01
Sales,36.66,55.63,50.19
Expenses,35.36,53.53,47.47
Operating Profit,1.3,2.1,2.72
OPM %,3.55,3.77,5.42
Other Income,0.09,0.32,0.16
Interest,0.33,0.8,1.32
Depreciation,0.02,0.05,0.07
Profit before tax,1.04,1.57,1.49
Tax %,28.85,28.03,28.86
Net Profit,0.73,1.14,1.06
EPS in Rs,730.0,50.49,3.61
