,2022-09-01,2023-09-01
Sales,26.54,21.12
Expenses,25.18,19.95
Operating Profit,1.36,1.17
OPM %,5.12,5.54
Other Income,0.08,0.39
Interest,0.68,0.83
Depreciation,0.0,0.04
Profit before tax,0.76,0.69
Tax %,27.63,27.54
Net Profit,0.55,0.5
EPS in Rs,24.36,1.24
