,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,12.02,13.85,12.62,9.82,11.63,21.36,22.32,14.1
Expenses,16.73,14.32,12.78,12.39,15.98,19.8,20.58,15.01
Operating Profit,-4.71,-0.47,-0.16,-2.57,-4.35,1.56,1.74,-0.91
OPM %,-39.18,-3.39,-1.27,-26.17,-37.4,7.3,7.8,-6.45
Other Income,0.27,0.9,0.18,0.33,0.34,0.28,0.82,0.19
Interest,0.67,0.59,0.64,0.87,0.7,0.78,0.69,0.71
Depreciation,0.82,0.9,0.91,0.91,0.88,0.89,0.89,0.87
Profit before tax,-5.93,-1.06,-1.53,-4.02,-5.59,0.17,0.98,-2.3
Tax %,32.38,0.0,-11.11,0.0,0.0,0.0,0.0,-63.04
Net Profit,-4.01,-1.06,-1.7,-4.01,-5.59,0.17,0.98,-3.75
EPS in Rs,-3.14,-0.83,-1.33,-3.14,-4.37,0.13,0.77,-2.93
