,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2,1,3,2,-7,12
Cash from Investing Activity,-3,-2,-3,-3,-5,-6
Cash from Financing Activity,0,0,0,0,13,0
Net Cash Flow,-1,-1,0,0,1,6
