,2020-09-01,2021-03-01,2021-09-01,2021-12-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.0,11.0,8.0,12.0,11.0,9.0,32.0,52.0
Expenses,3.0,9.0,6.0,10.0,9.0,7.0,22.0,36.0
Operating Profit,1.0,2.0,1.0,2.0,2.0,2.0,10.0,17.0
OPM %,25.0,17.0,18.0,17.0,18.0,24.0,31.0,32.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0
Profit before tax,0.0,1.0,1.0,1.0,1.0,1.0,8.0,14.0
Tax %,24.0,26.0,24.0,24.0,25.0,29.0,25.0,25.0
Net Profit,0.0,1.0,1.0,1.0,1.0,1.0,6.0,10.0
EPS in Rs,0.8,1.6,0.99,1.24,1.33,1.35,8.74,15.72
