,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.0,18.0,15.0,15.0,19.0,41.0,84
Expenses,15.0,15.0,13.0,12.0,16.0,29.0,58
Operating Profit,2.0,3.0,2.0,3.0,3.0,12.0,26
OPM %,14.0,17.0,15.0,19.0,18.0,30.0,31
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,1
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,1.0,1.0,1.0,2.0,2.0,4.0,6
Profit before tax,2.0,2.0,1.0,1.0,2.0,9.0,21
Tax %,28.0,28.0,27.0,25.0,24.0,25.0,
Net Profit,1.0,1.0,1.0,1.0,2.0,7.0,16
EPS in Rs,12.5,13.5,10.4,2.4,2.32,10.09,24.46
