,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0,0,0.0,15.0,31.0,60.0,56.0,98.0
Expenses,0.0,0,0,0.0,12.0,15.0,25.0,27.0,58.0
Operating Profit,0.0,-0,-0,0.0,3.0,16.0,35.0,29.0,40.0
OPM %,,,,88.0,21.0,52.0,58.0,52.0,41.0
Other Income,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
Interest,0.0,0,0,0.0,1.0,5.0,6.0,10.0,7.0
Depreciation,0.0,0,0,0.0,0.0,13.0,16.0,17.0,20.0
Profit before tax,0.0,0,-0,0.0,2.0,-2.0,14.0,3.0,15.0
Tax %,,0,0,26.0,34.0,14.0,32.0,-7.0,24.0
Net Profit,0.0,0,-0,0.0,1.0,-2.0,9.0,3.0,11.0
EPS in Rs,0.0,0.03,-0.06,0.74,0.38,-0.54,2.68,1.35,2.08
