,Mar 2022,Mar 2023,TTM
Sales,0,103.0,245
Expenses,0,48.0,125
Operating Profit,-0,55.0,120
OPM %,,54.0,49
Other Income,0,1.0,3
Interest,0,15.0,29
Depreciation,0,34.0,65
Profit before tax,0,7.0,29
Tax %,50,46.0,
Net Profit,0,4.0,22
EPS in Rs,0.03,1.13,5.57
