,2023-03-01
Depreciation,1.02
EPS in Rs,5.45
Expenses,50.1
Interest,0.53
Net Profit,7.06
OPM %,14.81
Operating Profit,8.71
Other Income,1.12
Profit before tax,8.28
Sales,58.81
Tax %,14.86
