,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,60.0,,38.0,43
Inventory Days,78.0,,128.0,136
Days Payable,80.0,,97.0,88
Cash Conversion Cycle,58.0,,68.0,91
Working Capital Days,59.0,,54.0,62
ROCE %,,,,29
