,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,79,79,79,79,79,79,79,79,79,79,79,79.0
Reserves,1567,1546,1512,1544,1526,1532,1467,117,-193,-255,-336,
Borrowings,1470,1393,1292,1604,1472,1737,1343,1426,947,847,770,
Other Liabilities,3073,3799,4011,4193,3922,4771,4553,6791,6658,6572,6512,
Total Liabilities,6188,6817,6894,7419,6999,8119,7441,8413,7490,7243,7024,
Fixed Assets,183,266,306,445,505,784,706,680,589,562,676,
CWIP,197,216,246,204,222,45,59,72,80,96,101,
Investments,38,49,38,12,115,28,70,42,53,49,49,
Other Assets,5770,6287,6303,6758,6157,7260,6606,7619,6768,6537,6198,
Total Assets,6188,6817,6894,7419,6999,8119,7441,8413,7490,7243,7024,
