,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,40.92,42.51,49.4,18.53,27.37,24.82,29.86,15.52,12.34,15.52
Expenses,38.21,39.65,46.57,17.38,25.45,24.56,29.72,14.51,11.04,14.31
Operating Profit,2.71,2.86,2.83,1.15,1.92,0.26,0.14,1.01,1.3,1.21
OPM %,6.62,6.73,5.73,6.21,7.01,1.05,0.47,6.51,10.53,7.8
Other Income,0.09,0.04,0.05,0.02,0.01,0.03,1.21,0.0,0.02,0.0
Interest,1.38,1.41,1.29,0.9,2.14,1.52,0.94,0.38,0.54,0.5
Depreciation,0.81,0.78,0.84,0.76,0.78,0.73,0.64,0.43,0.45,0.46
Profit before tax,0.61,0.71,0.75,-0.49,-0.99,-1.96,-0.23,0.2,0.33,0.25
Tax %,50.82,0.0,181.33,0.0,-3.03,1.53,126.09,-610.0,-224.24,24.0
Net Profit,0.3,0.71,-0.61,-0.48,-1.02,-1.93,0.06,1.43,1.07,0.19
EPS in Rs,0.24,0.57,-0.49,-0.39,-0.82,-1.56,0.05,1.15,0.86,0.15
