,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,46.01,50.76,60.57,62.8,67.97,108.07,68.55,33.4,60.13,56.88,63.57,75.53,58.38
Expenses,38.58,43.2,49.51,53.96,56.74,93.1,61.93,28.92,55.05,46.21,55.12,69.89,57.89
Operating Profit,7.43,7.56,11.06,8.84,11.23,14.97,6.62,4.48,5.08,10.67,8.45,5.64,0.49
OPM %,16.15,14.89,18.26,14.08,16.52,13.85,9.66,13.41,8.45,18.76,13.29,7.47,0.84
Other Income,5.38,14.89,5.22,6.8,5.27,1.01,1.6,4.09,7.26,0.21,3.47,7.99,3.29
Interest,0.1,0.1,0.09,0.07,0.05,0.17,0.12,0.16,0.17,0.08,0.06,0.09,0.09
Depreciation,1.44,1.01,1.03,1.05,1.1,1.13,0.65,1.59,2.23,2.35,2.4,2.52,2.49
Profit before tax,11.27,21.34,15.16,14.52,15.35,14.68,7.45,6.82,9.94,8.45,9.46,11.02,1.20
Tax %,35.14,26.99,34.76,35.67,33.94,35.49,35.3,24.49,24.85,25.44,24.52,28.86,
Net Profit,7.32,15.58,9.89,9.35,10.14,9.48,4.82,5.15,7.47,6.3,7.15,7.83,0.36
EPS in Rs,7.07,15.05,9.56,9.11,9.87,9.23,4.69,5.02,7.27,6.14,6.96,7.62,0.35
