,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,13.0,0,0,0,0,0,0,0,0,69.0,241.0,250
Expenses,0.0,28.0,0,0,1,0,0,1,0,0,67.0,238.0,243
Operating Profit,0.0,-15.0,-0,-0,-1,-0,-0,-1,-0,-0,1.0,3.0,7
OPM %,,-112.0,,,,,,,,,2.0,1.0,3
Other Income,0.0,24.0,0,0,0,0,0,0,-11,0,0.0,4.0,11
Interest,0.0,3.0,1,0,0,0,0,0,0,0,0.0,0.0,0
Depreciation,0.0,4.0,2,2,2,2,2,2,2,0,0.0,0.0,2
Profit before tax,0.0,2.0,-3,-2,-2,-2,-2,-2,-13,-1,1.0,7.0,16
Tax %,,0.0,0,0,0,0,0,0,0,0,0.0,8.0,
Net Profit,0.0,2.0,-3,-2,-2,-2,-2,-2,-13,-1,1.0,7.0,13
EPS in Rs,,0.03,-0.06,-0.04,-0.05,-0.05,-0.04,-0.05,-0.29,-0.01,0.02,0.14,0.27
