,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,26,18,22,-15,-34,11,-35,22,-36
Cash from Investing Activity,-7,-3,-9,-1,-1,-3,2,-3,-6
Cash from Financing Activity,-18,-14,-15,32,19,-8,31,-19,41
Net Cash Flow,1,0,-1,16,-16,1,-1,0,0
