,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,148.89,202.35,197.41,178.2,183.91,129.81,187.68,205.22
Expenses,141.25,196.73,189.57,170.42,178.42,118.57,176.62,191.2
Operating Profit,7.64,5.62,7.84,7.78,5.49,11.24,11.06,14.02
OPM %,5.13,2.78,3.97,4.37,2.99,8.66,5.89,6.83
Other Income,0.5,0.22,2.3,1.45,3.44,0.86,1.56,1.85
Interest,7.08,3.22,6.24,6.52,6.4,7.74,8.31,9.41
Depreciation,0.42,0.43,0.35,0.35,0.33,1.69,0.29,0.29
Profit before tax,0.64,2.19,3.55,2.36,2.2,2.67,4.02,6.17
Tax %,62.5,54.79,21.41,37.29,21.82,32.21,27.86,21.56
Net Profit,0.25,1.0,2.8,1.47,1.72,1.81,2.9,4.83
EPS in Rs,0.0,0.01,0.04,0.02,0.02,0.02,0.03,0.05
