,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,18,25,25,25,25,25,29,98.0
Reserves,21,26,30,90,107,112,113,116,163,146.0
Preference Capital,0,0,22,22,22,22,22,22,22,
Borrowings,184,199,183,182,227,224,266,266,288,290.0
Other Liabilities,73,41,94,137,71,68,76,107,81,181.0
Total Liabilities,287,275,325,433,430,429,480,514,560,715.0
Fixed Assets,30,27,25,24,23,22,20,19,16,16.0
CWIP,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,4,1,1,1.0
Other Assets,257,248,300,409,407,407,456,494,543,698.0
Total Assets,287,275,325,433,430,429,480,514,560,715.0
