,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,65.22,60.8,56.0,56.0,56.0,56.0,55.76,54.04
Public,34.78,39.2,44.0,44.0,44.0,44.0,44.24,45.96
No. of Shareholders,188.0,306.0,294.0,294.0,299.0,298.0,290.0,344.0
