,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.84,8.96,11.16,9.86,4.89,3.05,1.19,0.55,0.00,0.00,0.0
Expenses,3.4,8.87,10.52,11.37,5.61,5.07,2.83,1.67,0.33,0.30,0.29
Operating Profit,0.44,0.09,0.64,-1.51,-0.72,-2.02,-1.64,-1.12,-0.33,-0.30,-0.29
OPM %,11.46,1.0,5.73,-15.31,-14.72,-66.23,-137.82,-203.64,,,
Other Income,0.06,0.99,0.27,0.48,0.77,0.33,-1.55,-0.38,0.10,0.38,0.30000000000000004
Interest,0.2,0.28,0.19,0.16,0.09,0.02,0.01,0.0,0.00,0.00,0.0
Depreciation,0.17,0.63,0.58,2.23,0.46,1.0,0.56,0.32,0.26,0.22,0.21
Profit before tax,0.13,0.17,0.14,-3.42,-0.5,-2.71,-3.76,-1.82,-0.49,-0.14,-0.2
Tax %,30.77,52.94,307.14,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Net Profit,0.08,0.09,-0.28,-3.43,-0.5,-2.72,-3.76,-1.82,-0.49,-0.14,-0.21
EPS in Rs,0.19,0.12,-0.39,-4.76,-0.48,-2.59,-3.58,-1.73,-0.47,-0.13,-0.2
