,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.08,6.9,6.9,6.9,10.0,10.5,10.5,10.5,10.5,10.5,10.5
Reserves,0.08,4.97,4.69,1.26,0.76,-2.45,-6.22,-8.04,-8.53,-8.67,-8.86
Borrowings,1.69,0.99,0.79,0.54,0.44,0.9,0.5,1.17,1.24,1.0,0.46
Other Liabilities,0.56,1.77,2.39,2.37,2.46,3.58,2.71,2.05,1.65,1.22,1.92
Total Liabilities,6.41,14.63,14.77,11.07,13.66,12.53,7.49,5.68,4.86,4.05,4.02
Fixed Assets,3.53,6.19,8.92,7.39,7.79,6.98,2.68,1.88,1.62,1.4,2.12
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,1.59,1.27,1.01,0.81,0.0
Investments,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.33,0.21,0.21
Other Assets,2.88,8.44,5.85,3.68,5.54,5.22,2.89,2.2,1.9,1.63,1.69
Total Assets,6.41,14.63,14.77,11.07,13.66,12.53,7.49,5.68,4.86,4.05,4.02
